Timestamp,Delta (s),Raw Data (Hex),Modifier,Modifier Keys,Active Keys
2025-05-11T01:34:01.852302,14.051004,06 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00,6,"左Shift, 左Alt",
2025-05-11T01:34:01.889501,14.088203,06 01 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00,6,"左Shift, 左Alt",
2025-05-11T01:34:01.890316,14.089018,06 01 00 00 00 20 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00,6,"左Shift, 左Alt",#(0x20)
2025-05-11T01:34:01.891273,14.089975,06 01 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00,6,"左Shift, 左Alt",
2025-05-11T01:34:01.892324,14.091026,06 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00,6,"左Shift, 左Alt",
2025-05-11T01:34:01.913520,14.112222,06 01 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00,6,"左Shift, 左Alt",
2025-05-11T01:34:01.914304,14.113006,06 01 00 00 00 20 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00,6,"左Shift, 左Alt",#(0x20)
2025-05-11T01:34:01.915319,14.114021,06 01 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00,6,"左Shift, 左Alt",
2025-05-11T01:34:01.916317,14.115019,06 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00,6,"左Shift, 左Alt",
2025-05-11T01:34:01.938471,14.137173,06 01 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00,6,"左Shift, 左Alt",
2025-05-11T01:34:01.939326,14.138028,06 01 00 00 00 20 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00,6,"左Shift, 左Alt",#(0x20)
2025-05-11T01:34:01.940292,14.138994,06 01 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00,6,"左Shift, 左Alt",
2025-05-11T01:34:01.941320,14.140022,06 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00,6,"左Shift, 左Alt",
2025-05-11T01:34:01.957445,14.156147,06 01 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00,6,"左Shift, 左Alt",
2025-05-11T01:34:01.958310,14.157012,06 01 00 00 00 20 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00,6,"左Shift, 左Alt",#(0x20)
2025-05-11T01:34:01.959325,14.158027,06 01 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00,6,"左Shift, 左Alt",
2025-05-11T01:34:01.960247,14.158949,06 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00,6,"左Shift, 左Alt",
2025-05-11T01:34:01.983545,14.182247,06 01 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00,6,"左Shift, 左Alt",
2025-05-11T01:34:01.984285,14.182987,06 01 00 00 00 20 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00,6,"左Shift, 左Alt",#(0x20)
2025-05-11T01:34:01.985258,14.18396,06 01 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00,6,"左Shift, 左Alt",
2025-05-11T01:34:01.986254,14.184956,06 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00,6,"左Shift, 左Alt",
2025-05-11T01:34:02.002523,14.201225,06 01 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00,6,"左Shift, 左Alt",
2025-05-11T01:34:02.003297,14.201999,06 01 00 00 00 20 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00,6,"左Shift, 左Alt",#(0x20)
2025-05-11T01:34:02.004316,14.203018,06 01 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00,6,"左Shift, 左Alt",
2025-05-11T01:34:02.005291,14.203993,06 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00,6,"左Shift, 左Alt",
2025-05-11T01:34:02.031516,14.230218,06 01 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00,6,"左Shift, 左Alt",
2025-05-11T01:34:02.032285,14.230987,06 01 00 00 00 20 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00,6,"左Shift, 左Alt",#(0x20)
2025-05-11T01:34:02.033330,14.232032,06 01 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00,6,"左Shift, 左Alt",
2025-05-11T01:34:02.034258,14.23296,06 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00,6,"左Shift, 左Alt",
2025-05-11T01:34:02.053477,14.252179,06 01 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00,6,"左Shift, 左Alt",
2025-05-11T01:34:02.054315,14.253017,06 01 00 00 00 20 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00,6,"左Shift, 左Alt",#(0x20)
2025-05-11T01:34:02.055277,14.253979,06 01 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00,6,"左Shift, 左Alt",
2025-05-11T01:34:02.056348,14.25505,06 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00,6,"左Shift, 左Alt",
2025-05-11T01:34:02.084536,14.283238,06 01 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00,6,"左Shift, 左Alt",
